,id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
148,5,2024-03-23 00:00:00,,5.2,20.0,65.8,71.4,71.4,2024-03-23,5_2024-03-23 00:00:00
149,5,2024-03-23 00:15:00,0.4,4.0,18.4,66.2,71.8,71.8,2024-03-23,5_2024-03-23 00:15:00
150,5,2024-03-23 00:30:00,1.2,3.0,19.6,67.4,73.0,73.0,2024-03-23,5_2024-03-23 00:30:00
151,5,2024-03-23 02:15:00,,0.2,8.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 02:15:00
152,5,2024-03-23 05:45:00,0.0,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 05:45:00
153,5,2024-03-23 05:30:00,0.0,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 05:30:00
154,5,2024-03-23 08:00:00,,0.2,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 08:00:00
155,1,2024-03-15 23:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 23:30:00
156,1,2024-03-15 23:45:00,0.0,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 23:45:00
157,1,2024-03-15 22:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 22:15:00
158,1,2024-03-15 21:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 21:30:00
159,1,2024-03-15 20:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 20:00:00
160,1,2024-03-15 19:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 19:00:00
161,1,2024-03-15 19:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 19:30:00
162,1,2024-03-15 19:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 19:15:00
163,1,2024-03-15 18:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 18:30:00
164,1,2024-03-15 18:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 18:15:00
165,1,2024-03-15 11:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 11:00:00
166,1,2024-03-15 11:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 11:15:00
167,1,2024-03-15 11:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 11:30:00
168,1,2024-03-15 10:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 10:15:00
169,1,2024-03-15 12:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 12:45:00
170,1,2024-03-15 12:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 12:00:00
171,1,2024-03-15 04:45:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 04:45:00
172,1,2024-03-15 06:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 06:15:00
173,1,2024-03-15 07:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 07:00:00
174,1,2024-03-15 10:30:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 10:30:00
175,1,2024-03-15 13:00:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 13:00:00
176,1,2024-03-15 05:15:00,,0.0,0.0,0.0,0.0,25.0,2024-03-15,1_2024-03-15 05:15:00
