id,geometry
88a8a07499fffff,"POLYGON((-43.5217379557189 -22.9495476977778, -43.5175673598577 -22.9465560336786, -43.5184777819767 -22.9418805636669, -43.5235587261293 -22.9401967946372, -43.5277292863196 -22.9431885270574, -43.5268189380399 -22.9478639601748, -43.5217379557189 -22.9495476977778))"
88a8a06341fffff,"POLYGON((-43.2615029781224 -22.9918107562836, -43.2573324594792 -22.9888135158757, -43.2582450534136 -22.9841413261041, -43.2633280934689 -22.9824664110801, -43.2674985804124 -22.9854637193209, -43.266586059012 -22.9901358747413, -43.2615029781224 -22.9918107562836))"
88a8a0663bfffff,"POLYGON((-43.4831480941265 -22.8792044940135, -43.4789780030743 -22.8762092019844, -43.4798886394625 -22.8715300854314, -43.4849692932862 -22.8698462974028, -43.4891393492645 -22.8728416575351, -43.4882287865047 -22.8775207375813, -43.4831480941265 -22.8792044940135))"
88a8a062ddfffff,"POLYGON((-43.3834841073472 -22.9515616193322, -43.379313665976 -22.948566241264, -43.3802252170103 -22.9438913970754, -43.3853071362852 -22.942211966482, -43.3894775440966 -22.9452074125717, -43.3885660662046 -22.9498822212217, -43.3834841073472 -22.9515616193322))"
88a8a078bdfffff,"POLYGON((-43.189694763705 -22.9455016391159, -43.1855246778399 -22.9425007601764, -43.1864377810925 -22.9378263597093, -43.1915208980631 -22.9361528718086, -43.195690953331 -22.9391538183404, -43.1947779222373 -22.9438281851691, -43.189694763705 -22.9455016391159))"
88a8a078c3fffff,"POLYGON((-43.2027234099235 -22.9761950720695, -43.1985530978601 -22.9731956624956, -43.199466141041 -22.9685228670022, -43.204549424065 -22.9668495148439, -43.208719705329 -22.9698489920956, -43.2078067343802 -22.9745217538162, -43.2027234099235 -22.9761950720695))"
88a8a02a8dfffff,"POLYGON((-43.6627017203515 -22.9333856624266, -43.6585311090862 -22.930397283673, -43.6594403493185 -22.9257204437592, -43.664520126284 -22.9240320208643, -43.6686906997296 -22.9270204682225, -43.667781534041 -22.9316972698595, -43.6627017203515 -22.9333856624266))"
88a8a02909fffff,"POLYGON((-43.5424421015866 -22.9164381845105, -43.5382717026235 -22.9134458770502, -43.5391819076698 -22.9087685478152, -43.5442624377552 -22.9070835631231, -43.5484328007353 -22.9100759388882, -43.5475226696247 -22.9147532310291, -43.5424421015866 -22.9164381845105))"
88a8a02193fffff,"POLYGON((-43.7606545823451 -22.9182953030356, -43.7564840150523 -22.9153090732603, -43.7573924222289 -22.910631091543, -43.7624713216793 -22.9089393788286, -43.766641849661 -22.9119256774011, -43.7657335175149 -22.9166036198793, -43.7606545823451 -22.9182953030356))"
88a8a02ad9fffff,"POLYGON((-43.6937146103076 -22.9449464324844, -43.6895439028237 -22.9419593338871, -43.6904529032946 -22.9372830108452, -43.6955325365593 -22.9355938249712, -43.6997032057493 -22.9385809922643, -43.6987942799801 -22.9432572767241, -43.6937146103076 -22.9449464324844))"
88a8a06743fffff,"POLYGON((-43.416183453571 -22.905753606098, -43.4120132696337 -22.9027574511088, -43.4129244894103 -22.8980800129015, -43.4180058198389 -22.8963987655243, -43.4221759697217 -22.8993949885202, -43.4212648232421 -22.9040723908751, -43.416183453571 -22.905753606098))"
88a8a06253fffff,"POLYGON((-43.3535146905604 -22.9833226889824, -43.3493440827538 -22.9803276510043, -43.3502559222349 -22.9756546381541, -43.3553382965363 -22.9739766985205, -43.3595088712376 -22.9769718045142, -43.3585971047546 -22.9816447821144, -43.3535146905604 -22.9833226889824))"
88a8a07717fffff,"POLYGON((-43.4313237923192 -23.0231836393265, -43.4271528157881 -23.0201921907883, -43.4280640814141 -23.0155210356514, -43.4331462501824 -23.0138413650583, -43.4373171924153 -23.0168328818553, -43.4364060001898 -23.021504000975, -43.4313237923192 -23.0231836393265))"
