primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-21 02:30:00,2,2024-03-21 02:30:00,0.34,2024-03-21
2_2024-03-21 07:15:00,2,2024-03-21 07:15:00,0.34,2024-03-21
2_2024-03-21 07:45:00,2,2024-03-21 07:45:00,0.34,2024-03-21
2_2024-03-21 15:45:00,2,2024-03-21 15:45:00,0.33,2024-03-21
2_2024-03-21 16:00:00,2,2024-03-21 16:00:00,0.33,2024-03-21
2_2024-03-21 15:15:00,2,2024-03-21 15:15:00,0.33,2024-03-21
2_2024-03-21 20:30:00,2,2024-03-21 20:30:00,0.33,2024-03-21
5_2024-03-21 22:45:00,5,2024-03-21 22:45:00,0.17,2024-03-21
5_2024-03-21 23:00:00,5,2024-03-21 23:00:00,0.16,2024-03-21
5_2024-03-21 22:30:00,5,2024-03-21 22:30:00,0.17,2024-03-21
5_2024-03-21 22:00:00,5,2024-03-21 22:00:00,0.17,2024-03-21
5_2024-03-21 22:15:00,5,2024-03-21 22:15:00,0.17,2024-03-21
5_2024-03-21 21:45:00,5,2024-03-21 21:45:00,0.17,2024-03-21
5_2024-03-21 21:15:00,5,2024-03-21 21:15:00,,2024-03-21
5_2024-03-21 21:30:00,5,2024-03-21 21:30:00,,2024-03-21
5_2024-03-21 21:00:00,5,2024-03-21 21:00:00,0.17,2024-03-21
5_2024-03-21 20:30:00,5,2024-03-21 20:30:00,,2024-03-21
5_2024-03-21 20:45:00,5,2024-03-21 20:45:00,0.17,2024-03-21
5_2024-03-21 20:15:00,5,2024-03-21 20:15:00,0.18,2024-03-21
5_2024-03-21 20:00:00,5,2024-03-21 20:00:00,0.18,2024-03-21
5_2024-03-21 19:45:00,5,2024-03-21 19:45:00,0.18,2024-03-21
5_2024-03-21 19:15:00,5,2024-03-21 19:15:00,,2024-03-21
5_2024-03-21 19:30:00,5,2024-03-21 19:30:00,0.17,2024-03-21
5_2024-03-21 18:30:00,5,2024-03-21 18:30:00,,2024-03-21
5_2024-03-21 19:00:00,5,2024-03-21 19:00:00,0.17,2024-03-21
5_2024-03-21 18:45:00,5,2024-03-21 18:45:00,0.16,2024-03-21
5_2024-03-21 18:15:00,5,2024-03-21 18:15:00,0.16,2024-03-21
5_2024-03-21 17:30:00,5,2024-03-21 17:30:00,0.17,2024-03-21
5_2024-03-21 17:15:00,5,2024-03-21 17:15:00,0.17,2024-03-21
5_2024-03-21 16:30:00,5,2024-03-21 16:30:00,,2024-03-21
5_2024-03-21 16:45:00,5,2024-03-21 16:45:00,,2024-03-21
5_2024-03-21 17:00:00,5,2024-03-21 17:00:00,0.17,2024-03-21
5_2024-03-21 16:00:00,5,2024-03-21 16:00:00,,2024-03-21
5_2024-03-21 15:30:00,5,2024-03-21 15:30:00,,2024-03-21
5_2024-03-21 14:30:00,5,2024-03-21 14:30:00,,2024-03-21
5_2024-03-21 14:00:00,5,2024-03-21 14:00:00,,2024-03-21
5_2024-03-21 11:45:00,5,2024-03-21 11:45:00,,2024-03-21
5_2024-03-21 11:15:00,5,2024-03-21 11:15:00,,2024-03-21
5_2024-03-21 10:30:00,5,2024-03-21 10:30:00,,2024-03-21
5_2024-03-21 10:45:00,5,2024-03-21 10:45:00,,2024-03-21
5_2024-03-21 11:00:00,5,2024-03-21 11:00:00,,2024-03-21
5_2024-03-21 09:45:00,5,2024-03-21 09:45:00,,2024-03-21
5_2024-03-21 08:45:00,5,2024-03-21 08:45:00,,2024-03-21
5_2024-03-21 08:00:00,5,2024-03-21 08:00:00,,2024-03-21
5_2024-03-21 07:00:00,5,2024-03-21 07:00:00,,2024-03-21
5_2024-03-21 07:15:00,5,2024-03-21 07:15:00,,2024-03-21
5_2024-03-21 07:30:00,5,2024-03-21 07:30:00,,2024-03-21
5_2024-03-21 05:15:00,5,2024-03-21 05:15:00,,2024-03-21
5_2024-03-21 04:30:00,5,2024-03-21 04:30:00,,2024-03-21
5_2024-03-21 01:30:00,5,2024-03-21 01:30:00,,2024-03-21
5_2024-03-21 00:45:00,5,2024-03-21 00:45:00,,2024-03-21
5_2024-03-21 05:45:00,5,2024-03-21 05:45:00,0.09,2024-03-21
5_2024-03-21 06:00:00,5,2024-03-21 06:00:00,0.09,2024-03-21
5_2024-03-21 05:30:00,5,2024-03-21 05:30:00,0.09,2024-03-21
5_2024-03-21 05:00:00,5,2024-03-21 05:00:00,0.09,2024-03-21
5_2024-03-21 04:45:00,5,2024-03-21 04:45:00,0.09,2024-03-21
5_2024-03-21 03:30:00,5,2024-03-21 03:30:00,0.09,2024-03-21
5_2024-03-21 04:00:00,5,2024-03-21 04:00:00,0.09,2024-03-21
5_2024-03-21 03:45:00,5,2024-03-21 03:45:00,0.09,2024-03-21
5_2024-03-21 15:00:00,5,2024-03-21 15:00:00,0.18,2024-03-21
5_2024-03-21 14:45:00,5,2024-03-21 14:45:00,0.18,2024-03-21
5_2024-03-21 11:30:00,5,2024-03-21 11:30:00,0.18,2024-03-21
5_2024-03-21 10:15:00,5,2024-03-21 10:15:00,0.18,2024-03-21
5_2024-03-21 10:00:00,5,2024-03-21 10:00:00,0.18,2024-03-21
5_2024-03-21 09:30:00,5,2024-03-21 09:30:00,0.18,2024-03-21
5_2024-03-21 13:45:00,5,2024-03-21 13:45:00,0.18,2024-03-21
5_2024-03-21 13:30:00,5,2024-03-21 13:30:00,0.18,2024-03-21
5_2024-03-21 06:30:00,5,2024-03-21 06:30:00,0.11,2024-03-21
5_2024-03-21 06:45:00,5,2024-03-21 06:45:00,0.11,2024-03-21
5_2024-03-21 02:30:00,5,2024-03-21 02:30:00,0.11,2024-03-21
5_2024-03-21 02:00:00,5,2024-03-21 02:00:00,0.11,2024-03-21
5_2024-03-21 07:45:00,5,2024-03-21 07:45:00,0.15,2024-03-21
5_2024-03-21 00:30:00,5,2024-03-21 00:30:00,0.15,2024-03-21
5_2024-03-21 00:00:00,5,2024-03-21 00:00:00,0.15,2024-03-21
5_2024-03-21 00:15:00,5,2024-03-21 00:15:00,0.15,2024-03-21
5_2024-03-21 14:15:00,5,2024-03-21 14:15:00,0.19,2024-03-21
